state,county_name,party,candidatevotes,totalvotes,win_percentage
LOUISIANA,BOSSIER,REPUBLICAN,38074,54655,0.6966242795718598
LOUISIANA,CADDO,DEMOCRAT,55110,104912,0.5252973921000458
LOUISIANA,CALCASIEU,REPUBLICAN,55066,82663,0.6661505147405732
LOUISIANA,CALDWELL,REPUBLICAN,3976,4762,0.8349433011339773
LOUISIANA,CAMERON,REPUBLICAN,3671,4039,0.9088883386976975
LOUISIANA,CATAHOULA,REPUBLICAN,3541,4858,0.7289007822149033
LOUISIANA,CLAIBORNE,REPUBLICAN,3770,6580,0.5729483282674772
LOUISIANA,CONCORDIA,REPUBLICAN,5550,8828,0.6286814680561849
LOUISIANA,DE SOTO,REPUBLICAN,9112,14736,0.6183496199782845
LOUISIANA,EAST BATON ROUGE,DEMOCRAT,115577,208182,0.5551728775782728
LOUISIANA,EAST CARROLL,DEMOCRAT,1900,3036,0.6258234519104084
LOUISIANA,EAST FELICIANA,REPUBLICAN,6064,10509,0.5770292130554763
LOUISIANA,EVANGELINE,REPUBLICAN,11053,15412,0.7171684401764858
LOUISIANA,FRANKLIN,REPUBLICAN,6970,9720,0.7170781893004116
LOUISIANA,GRANT,REPUBLICAN,8117,9392,0.8642461669505963
LOUISIANA,IBERIA,REPUBLICAN,21251,32713,0.649619417357014
LOUISIANA,IBERVILLE,DEMOCRAT,8514,16719,0.5092409833123991
LOUISIANA,JACKSON,REPUBLICAN,5394,7632,0.7067610062893082
LOUISIANA,JEFFERSON,REPUBLICAN,105949,193733,0.5468815328312677
LOUISIANA,JEFFERSON DAVIS,REPUBLICAN,11423,14841,0.7696920692675696
LOUISIANA,LAFAYETTE,REPUBLICAN,72519,114521,0.6332375721483396
LOUISIANA,LAFOURCHE,REPUBLICAN,36024,45388,0.793689962104521
LOUISIANA,LA SALLE,REPUBLICAN,6378,7077,0.9012293344637559
LOUISIANA,LINCOLN,REPUBLICAN,11311,19275,0.586822308690013
LOUISIANA,LIVINGSTON,REPUBLICAN,54877,65230,0.8412846849609076
LOUISIANA,MADISON,DEMOCRAT,2654,4670,0.5683083511777302
LOUISIANA,MOREHOUSE,REPUBLICAN,6510,11574,0.5624675997926387
LOUISIANA,NATCHITOCHES,REPUBLICAN,9358,16554,0.5653014377189803
LOUISIANA,ORLEANS,DEMOCRAT,147854,177819,0.8314859491955303
LOUISIANA,OUACHITA,REPUBLICAN,42255,69166,0.6109215510510945
LOUISIANA,PLAQUEMINES,REPUBLICAN,7412,11014,0.6729616851280189
LOUISIANA,POINTE COUPEE,REPUBLICAN,7503,12371,0.6064990704065961
