state,state_po,year,result
Mississippi,MS,2004,-1
Missouri,MO,2004,-1
Montana,MT,2004,-1
Nebraska,NE,2004,-1
Nevada,NV,2004,-1
New Hampshire,NH,2004,1
New Jersey,NJ,2004,1
New Mexico,NM,2004,-1
New York,NY,2004,1
North Carolina,NC,2004,-1
North Dakota,ND,2004,-1
Ohio,OH,2004,-1
Oklahoma,OK,2004,-1
Oregon,OR,2004,1
Pennsylvania,PA,2004,1
Rhode Island,RI,2004,1
South Carolina,SC,2004,-1
South Dakota,SD,2004,-1
Tennessee,TN,2004,-1
Texas,TX,2004,-1
Utah,UT,2004,-1
Vermont,VT,2004,1
Virginia,VA,2004,-1
Washington,WA,2004,1
West Virginia,WV,2004,-1
Wisconsin,WI,2004,1
Wyoming,WY,2004,-1
Alabama,AL,2000,-1
Alaska,AK,2000,-1
Arizona,AZ,2000,-1
Arkansas,AR,2000,-1
California,CA,2000,1
Colorado,CO,2000,-1
Connecticut,CT,2000,1
Delaware,DE,2000,1
District Of Columbia,DC,2000,1
Florida,FL,2000,-1
Georgia,GA,2000,-1
Hawaii,HI,2000,1
Idaho,ID,2000,-1
Illinois,IL,2000,1
Indiana,IN,2000,-1
Iowa,IA,2000,1
Kansas,KS,2000,-1
Kentucky,KY,2000,-1
Louisiana,LA,2000,-1
Maine,ME,2000,1
Maryland,MD,2000,1
Massachusetts,MA,2000,1
Michigan,MI,2000,1
Minnesota,MN,2000,1
Mississippi,MS,2000,-1
Missouri,MO,2000,-1
Montana,MT,2000,-1
Nebraska,NE,2000,-1
Nevada,NV,2000,-1
New Hampshire,NH,2000,-1
New Jersey,NJ,2000,1
New Mexico,NM,2000,1
New York,NY,2000,1
North Carolina,NC,2000,-1
North Dakota,ND,2000,-1
Ohio,OH,2000,-1
Oklahoma,OK,2000,-1
Oregon,OR,2000,1
Pennsylvania,PA,2000,1
Rhode Island,RI,2000,1
South Carolina,SC,2000,-1
South Dakota,SD,2000,-1
Tennessee,TN,2000,-1
Texas,TX,2000,-1
Utah,UT,2000,-1
Vermont,VT,2000,1
Virginia,VA,2000,-1
Washington,WA,2000,1
West Virginia,WV,2000,-1
Wisconsin,WI,2000,1
Wyoming,WY,2000,-1
